Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 New Devs,A417 Greenfield MDU,Sth Coast,Mickey Tran,Inv 14215 ,05/10/2018,03/09/2018,03/09/2018,04/09/2018,25/09/2018,17/09/2018,09/10/2018,Sep-18,Oct-18,,"MW21827-AYCA-4O03IQ-2COR-09-17 Ryan Street, Balgownie Ext",Balgownie,"$1,924.61","$14,905.61","$16,830.22"," $	18,513.24 ","$5,425.54","$2,800.00","$8,225.54","$8,604.68",51%,Nabeel Jaimon,Direct Award,26/02/2018,,20/03/2018,22d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 13752,20/06/2018,28/05/2018,29/05/2018,31/05/2018,05/06/2018,08/06/2018,19/06/2018,May-18,Jun-18,,"MW21970-AYCA-4YZGFK-2PEN-66-51 Boronia St, South Wentworthville",Wentworthville,"$1,021.38","$3,224.76","$4,246.14"," $	4,670.75 ","$2,111.52",,"$2,111.52","$2,134.62",50%,Ertan Cicek,Direct Award,02/03/2018,,06/04/2018,35d
A417 RFQ,A417 RFQ Minor Works,Sydney West,Dane Harrington,,,,30/06/2019,,,,,Jun-19,Jan-00,,MW21456 - 2BLK-07-16 - 51 Huntingwood Drive,Huntingwood,"$30,428.35",,"$30,428.35"," $	33,471.19 ","$9,404.68",,"$9,404.68","$21,023.67",69%,Greg Moeller,27/11/2017,28/03/2018,,30/04/2018,33d
A417 New Devs,NBN Assurance Wagga,NSW,Andrew McPherson,Inv 13358,08/03/2018,08/03/2018,08/03/2018,,,,17/05/2018,Mar-18,May-18,,"MW22235 - INC000007210193 - 36 Blakemore Av, Ashmont, NSW",Ashmont,"$1,153.26",,"$1,153.26"," $	1,268.59 ",,$450.00,$450.00,$703.26,61%,Tony Gabriel,,,,,
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,Inv 13672,28/05/2018,09/05/2018,09/05/2018,15/05/2018,02/06/2018,23/05/2018,12/06/2018,May-18,Jun-18,,"MW21835-AYCA-4MJ7W3-2WRO-63-8-10 Park Ave, Waitara",Waitara,$704.71,"$4,996.36","$5,701.07"," $	6,271.18 ","$1,885.45",,"$1,885.45","$3,815.62",67%,Ertan Cicek,Direct Award,07/03/2018,,20/03/2018,13d
A417 RFQ,A417 RFQ New Devs,Central West,Mickey Tran,Inv 13718,14/06/2018,04/06/2018,04/06/2018,,,15/06/2018,22/06/2018,Jun-18,Jun-18,,MW22035-AYCA-4C4E63-2CWR-01-11 Liverpool Street Cowra,Cowra,"$8,506.73",,"$8,506.73"," $	9,357.40 ",,,$0.00,"$8,506.73",100%,Dave Yoemans,05/03/2018,16/03/2018,,01/04/2018,16d
A417 RFQ,A417 RFQ New Devs,Sth NSW,Mickey Tran,Inv 13776,29/06/2018,05/06/2018,05/06/2018,,,20/06/2018,26/06/2018,Jun-18,Jun-18,,MW22033 -AYCA-4PX9WA- 2YAS-01 - 23 Browne Street Yass,Yass,"$2,191.88",,"$2,191.88"," $	2,411.07 ",,,$0.00,"$2,191.88",100%,Dave Yoemans,05/03/2018,16/03/2018,,01/04/2018,16d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14931,10/04/2019,21/02/2019,21/02/2019,21/02/2019,26/03/2019,07/03/2019,11/04/2019,Feb-19,Apr-19,,"MW21971-AYCA-4X6TWU-2LID-08-43 - 47 Harrow Rd, Auburn, EXT",Auburn,$279.01,"$4,023.20","$4,302.21"," $	4,732.43 ","$2,486.77",,"$2,486.77","$1,815.44",42%,Nabeel Jaimon,Direct Award,28/02/2018,,06/04/2018,37d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 13921,26/07/2018,25/06/2018,25/06/2018,,,09/07/2018,12/07/2018,Jun-18,Jul-18,,MW21994-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd Strathfield INT,Strathfield,$840.00,,$840.00, $	924.00 ,,,$0.00,$840.00,100%,Nabeel Jaimon,Direct Award,06/03/2018,,28/03/2018,22d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14849,21/03/2019,21/02/2019,21/02/2019,,,07/03/2019,21/03/2019,Feb-19,Mar-19,,"MW22002-AYCA-4X6TWU-2LID-08-43-47 Harrow Rd Auburn,  INT",Auburn,$560.00,,$560.00, $	616.00 ,,,$0.00,$560.00,100%,Nabeel Jaimon,Direct Award,06/03/2018,,03/04/2018,28d
