Contract,Rate Card,Proejct Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-012,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-013,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-014,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-015,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-016,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-017,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-018,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-019,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-020,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-021,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-022,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-023,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-024,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-025,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-026,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-027,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-028,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-029,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-030,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-031,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-032,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-033,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-034,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-035,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-036,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-037,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-038,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-039,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-040,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-041,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-042,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-043,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CDS-044,FC-03-01-01 - Existing copper drop sheath validation,1
