Client,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-026,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-027,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-028,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-029,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-030,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-031,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-032,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-033,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-034,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-035,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-036,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-037,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-038,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-039,FB-04-01-07 - PON Power Meter Test,1
