,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,5/13/18,5/26/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/11/18,7/16/18,7/25/18,7/26/18,7/31/18,8/13/18,8/31/18,9/3/18,9/5/18,9/11/18,9/17/18,9/20/18,9/24/18,9/25/18,9/28/18,9/30/18,10/1/18,10/12/18,10/16/18,10/25/18,10/29/18,10/31/18,11/1/18,11/6/18,11/22/18,11/23/18,11/26/18,11/30/18,12/10/18,12/31/18,(blank),Grand Total,
MW21390 - AYCA-4QG9AV - NSB - 33 Shoalhaven St Kiama Surevy & Build," $	1,120.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21456 - 2BLK-07-16 - 51 Huntingwood Drive, $	600.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21521-AYCA-1OHQX6 -2ROU-02-Lake Promenade - Building C- EXTERNAL," $	3,361.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown," $	1,221.19 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21532-AYCA-4TBHNX - 2SHH-05 - NSB - 125 LAKE ENTRANCE - SURVEY," $	4,398.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21637-AYCA-4OHMS3 - 2BLK-07 -35 Holbeche road, Arndell Park - EXT", $	703.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21651-AYCA-21BAAK-2BAN-64-Stacey Apartments - 1," $	1,051.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1," $	1,294.92 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21756-AYCA-3K4RCM-2RIV-03-Marsden Park Tonzat Development - 2," $	9,927.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield EXT"," $	3,623.46 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21827-AYCA-4O03IQ-2COR-09-17 Ryan Street, Balgownie Ext"," $	5,425.54 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21878-AYCA-2Q0B3G-2PAR-63-148-150 Great Western Hwy, Westmead", $	477.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21966-AYCA-52950S-2BUR-65-147 - 153 Liverpool Rd, Burwood"," $	1,583.41 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21970-AYCA-4YZGFK-2PEN-66-51 Boronia St, South Wentworthville"," $	2,111.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW21971-AYCA-4X6TWU-2LID-08-43 - 47 Harrow Rd, Auburn, EXT"," $	2,486.77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22007-AYCA-4VJFPP-2NEW-22-19-21 Eve St, Erskineville"," $	2,964.55 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae"," $	5,405.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22022--AYCA-3TBATE-2PAR-6111 Hassall St, Paramatta"," $	4,761.73 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22023-AYCA-48280D - 2RED-03 -  906 Bourke St, Zetland"," $	11,554.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22024-AYCA-35DF0W-2KEL-07-1, 1A & 1B President Rd, Kellyville"," $	2,161.86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22048-AYCA-52ZO0L-2LID-04-32 Norval St, Auburn EXT"," $	1,105.71 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22055-AYCA-52ZO0L-2LID-04-32 Norval St Auburn   INT," $	1,434.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah"," $	7,048.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills "," $	6,489.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22093-AYCA-4RGB2W-2EAS-62-111-139 Darlinghurst Rd, Potts Point"," $	6,326.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22094-AYCA-4LM7HH-2UND-61-590-602 New Canterbury Rd, Hurlstone Park"," $	6,165.46 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb," $	13,346.45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22171-AYCA-54VFA3-2COR-02- 50 Squires Cres Coledale," $	2,366.54 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22191-AYCA-4Z4FSB - 2MIL-20 -  Mainfreight Logistics - 1," $	23,620.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22195 - AYCA-4SOX62-2LIV-03- 186 Moore St Liverpool," $	3,074.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE"," $	8,266.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22208-AYCA-4PWSOZ- 2KEL-07-1B Fairway Dr Kellyville," $	1,203.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22218 - AYCA-4JMOL9 - 2DRU-60 - 50-52 East St, Five Dock"," $	3,140.46 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields," $	3,157.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22258-AYCA-4BT0OX-2RIV-02-66 Schofields Road Schofields, $	490.78 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22260-AYCA-56YKSC-2CAM-02-38 Wonga St, Canterbury"," $	1,225.45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22263-AYCA-31DCKF-2EAS-62-18-20 Neild Ave Darlinghurst," $	3,019.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ," $	6,425.20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22279-AYCA-45Q6J5-2EPP-62-35 Oxford St Epping," $	7,081.22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
