Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-4O03IQ,2COR-09,"17 RYAN STREET, BALGOWNIE - 1",Active,Supply Order Raised,7,FTTP – Type 3 (MT-LFN),NSW,Balgownie,17 Ryan Street,2519,167597,B + E,10/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,2/27/18 12:00,,Nabeel Jaimon,Datateks
AYCA-54WJL3,2PTH-09,111 Andrews Road - 1,Active,Supply Order Raised,14,FTTP – Type 3 (MT-LFN),NSW,Cranebrook,111 Andrews Rd,2749,180973,B + E,10/1/18,Awaiting Corrective Action,Reservation Response Received,MWA - SOPR,WI Issued,6/19/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-56Z0PS,2HMK-02,"37 - 49 O'Connor street, Chippendale NSW",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Chippendale,37-49 O'Connor St,2008,180746,B + E,10/1/18,Awaiting Corrective Action,Reservation Response Received,MWA - SOPR,WI Issued,6/15/18 12:00,,Ertan Cicek,Datateks
AYCA-4CG9U4,2KNS-04,29-31 Dunning Avenue Rosebery - 1,Active,Supply Order Raised,32,FTTP – Type 2,NSW,Rosebery,29-31 Dunning Ave,2018,181955,B + E,10/5/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/11/18 10:15,,Ertan Cicek,Datateks
AYCA-5AXHNZ,2SIL-02,"4 Murray Rose Ave, Sydney Olympic Park -",Active,Supply Order Raised,27,FTTP – Type 3 (MT-LFN),NSW,Sydney Olympic Park,4 Murray Rose Avenue,2127,183022,B + E,10/12/18,Awaiting Corrective Action,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-57S6JD,2REV-20,50 Violet St Revesby - 1,Active,Supply Order Raised,5,FTTP – Type 3 (MT-LFN),NSW,Revesby,50/42 Violet St,2212,180854,B + E,10/15/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/8/18 16:15,,,Datateks
AYCA-413Z64,2PAR-64,THE DARCY - 1,Active,Supply Order Raised,36,FTTP – Type 2,NSW,Westmead,2B Darcy Rd,2145,155179,B + E,10/19/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/24/18 12:00,,Ertan Cicek,Datateks
AYCA-45Q6J5,2EPP-62,Luxcon Epping - 1,Active,Supply Order Raised,63,FTTP – Type 2,NSW,Epping,35 Oxford St,2121,170455,B + E,10/19/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,4/21/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4KBL5R,2KNS-03,Primrose Terraces - 1,Active,Supply Order Raised,44,FTTP – Type 2,NSW,Rosebery,14-18 Primrose Ave & 27-29 Rosebery Ave,2018,171209,B + E,10/19/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,5/30/18 12:00,,Lindy Chan,Datateks
AYCA-4PIIN5,2RYD-66,RYDEVIEW - 1,Active,Supply Order Raised,36,FTTP – Type 2,NSW,Ryde,101 Church St,2112,172853,B + E,10/19/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,5/11/18 12:00,,Ertan Cicek,Datateks
