Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/01-01,Field Scoping - LOC Validation,Per LOC ID," $	8.00 ",Field Scoping - LOC Validation,45403

Lend Lease,Lend Lease - N2P (QLD),CW-06-01-03/01-01,Breakout paving material all areas,"Per Square metre"," $	50.00 ",Breakout paving material all areas,45403

Lend Lease,Lend Lease - N2P (QLD),CW-06-02-01/01-01,Reinstate concrete surface material,"Per Square metre"," $	116.31 ",Reinstate concrete surface material,45403

Lend Lease,Lend Lease - N2P (QLD),CW-06-02-02/01-01,Reinstate asphalt or bitumen,"Per Square metre"," $	72.15 ",Reinstate asphalt or bitumen,45403

Lend Lease,Lend Lease - N2P (QLD),CW-06-02-04/01-01,Reinstate paving material in all areas,"Per Square metre"," $	65.00 ",Reinstate paving material in all areas,45403

Lend Lease,Lend Lease - N2P (QLD),CI-01-01-02-C/01-01,"Pipe Proving in existing duct all-inclusive (Construction)","Per linear metre"," $	1.82 ","Pipe Proving in existing duct all-inclusive (Construction)",45403

Lend Lease,Lend Lease - N2P (QLD),CI-01-01-02-D/01-01,"Pipe Proving in existing duct all-inclusive (Design)","Per linear metre"," $	1.82 ","Pipe Proving in existing duct all-inclusive (Design)",45403

Lend Lease,Lend Lease - N2P (QLD),CI-01-02-01/01-01,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,Per existing riser on a pole or existing riser on the external face of a building," $	30.15 ",Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,45403

Lend Lease,Lend Lease - N2P (QLD),CI-02-01-10/01-01,Installation of a cable sheath greater than 144 fibre in underground duct all-inclusive by any means,Per linear metre," $	2.49 ",Installation of a cable sheath greater than 144 fibre in underground duct all-inclusive by any means,45403

Lend Lease,Lend Lease - N2P (QLD),CI-02-01-11/01-01,Installation of a cable sheath greater than  12 fibre and up to and including 144 fibre in underground duct all-inclusive by any means,Per linear metre," $	2.26 ",Installation of a cable sheath greater than  12 fibre and up to and including 144 fibre in underground duct all-inclusive by any means,45403

