,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
"MW20686 - AYCA-1RBL6L - The North Village , Kellyville - 1"," $	2,486.86 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20692 - AYCA-2HTGPP - Scalabrini Village Residential," $	7,738.49 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20698 - AYCA-1SQ3K5 - 189 Macquarie Street, $	235.00 ,,,,,,,,,,,,,,,,,,,,,,,,
MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD," $	10,667.80 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction," $	9,711.45 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20767 - AYCA-1PM9JB - 2GRA-64 - Merrylands Rd," $	5,328.82 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20777 - AYCA-46PUI1 -2HBD-21 - 724 Pittwater Rd Brookvale / Lakeview," $	1,612.32 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20778 - AYCA-40UXV5 - 163 Parker St, South Penrith Ext"," $	26,378.38 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20798 - AYCA-2LT5GF - Castlereagh Street - 1," $	3,777.56 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20806 - 2EPS-61 -AYCA-42J4C9– 54 Tyrone Place, Erskine Park - Loscam"," $	6,233.70 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20812 - 2WLG-01 - 2LIV-04 - Crown, Kembla, Macquarie, George"," $	8,083.95 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20817 - 2LIV-12 - 2QUA – 02- 2PTH-02 - Glenfield_Margo_Jamison," $	1,257.96 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20821 - AYCA-45D358 NSB Albuera Close -  BUILD," $	6,043.99 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20843 - AYCA-4EIN5M - 2KCL-02 - 171 Casuarina Way Pty Ltd - 1- EXTERNAL," $	5,237.60 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20844 - 2TAH-02 - AYCA-3YUT4L - Brundah Road - 1," $	6,117.91 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20865 - AYCA-2K3SGD - 2NWR-03 - Elian Crescent 1.," $	1,480.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20875 - ACYA-3W8TJD - 31-33 Irelands Road Blacktown ," $	2,573.97 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20888 - 2HOR-62 - AYCA-39AB50 -2HOR-62 -JAAN – 1," $	2,974.72 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL," $	4,651.88 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20927 - 2ASH-61 - AYCA-482KZM - Lionsgate Projects – 1," $	4,280.95 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20939 - AYCA-2Y4BYB -2PEN-64 - 344 GWH Wentworthville – 1- EXTERNAL," $	2,739.01 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20941 - AYCA-2KQ04J -2KEL-01 - 112 Hambledon," $	1,039.30 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20966 - 2BLK-11 - AYCA-3W8LJB - 42-44 Norfolk St," $	5,913.37 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21006 - AYCA-49DNJ1 - Nowra BP & McDonalds - 1-  INTERNAL AND EXTERNAL," $	4,349.75 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ," $	27,764.90 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21026 - 2HOR-62 - AYCA-3TQB8K - MOUNT COLAH GARDENS - 2 - EXTERNAL," $	2,919.77 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21052 - 2MAI-11 - AYCA-3OLAP3-WA Brown INTERNAL," $	6,294.34 ",,,,,,,,,,,,,,,,,,,,,,,,
