,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Forecast Rev By Month,,,,,,,,,,,,,,,,,,
,Sum of Total Revenue,Column Labels,,,,,,,,,,,,,,,,,
,Row Labels,A401/Greenfield,A401/Minor works,A417 Greenfield MDU,AARnet,Craig Comms,Field Solutions,NBN Assurance Sydney,NBN Assurance Wagga,NBN FttC Drops,VPL,VPL New Devs,Grand Total,,,,,,
,Nov-17,16,21,,,,,,,,,,,,,,,,
,A401/Greenfield,4,6,,,,,,,,,,,,,,,,
,A401/Minor works,,1,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,9,11,,,,,,,,,,,,,,,,
,VPL,3,3,,,,,,,,,,,,,,,,
,Oct-17,14,19,,,,,,,,,,,,,,,,
,A401/Greenfield,7,7,,,,,,,,,,,,,,,,
,A401/Minor works,1,1,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,6,10,,,,,,,,,,,,,,,,
,AARnet,,1,,,,,,,,,,,,,,,,
,Sep-17,10,21,,,,,,,,,,,,,,,,
,A401/Greenfield,6,7,,,,,,,,,,,,,,,,
,A401/Minor works,,2,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,4,11,,,,,,,,,,,,,,,,
,Craig Comms,,1,,,,,,,,,,,,,,,,
,Grand Total,245,368,,,,,,,,,,,,,,,,
