,,,"$116,745.60","$735,167.78",,,,,Days average for PC Accpetance,,"$169,644.79",$0.00,,,,,,,,,,,,,,,,
Date,PM,Site Name,Pending on Outcome,Quoted Sum Won,Comments,PC Request Submit Date,PC Due Date,PC Cert issued,Date PC Approved,Day difference between PC Request and PC Granted,Quoted Sum Loss,Tech Choices Projects Yet award,Won Less than $2K,Won Greater than 2K to 5K,Won Greater than 5K,,,,Row Labels,Count of Quoted Sum Won,Count of Won Less than $2K,Count of Won Greater than 2K to 5K,Count of Won Greater than 5K,Total Jobs Per PM,Win % per PM,,,
9/8/17,Mark leal,MW21032 - AYCA-4L57RB - 2MDG-01 -NSB - Bateman Ave Mudgee,,"$1,760.00",,,,,,,,,,,,,,,,,,,,,,,,
9/12/17,Dave Yoemans,MW21286 - AYCA-4DREB8 - 2PKE-08 - 85 William James Drive Cordeaux Heigh,,,,,,,,,"$5,602.70",,,,,,,,,,,,,,,,,
9/12/17,Dave Yeomans,MW21285 - AYCA-496F3H - 2MSV-04 - 8 Bendooley Street Bowral,,"$4,895.03",,,,,,,,,,,,,,,,,,,,,,,,
9/13/17,Dave Yeomans,MW21290 - AYCA-49VQSG - 2CAS-23 - 4 Jabiru Place - Castle Hill,,,,,,,,,"$4,356.77",,,,,,,,,,,,,,,,,
9/12/17,Dave Yeomans,MW21287 - AYCA-4BSSM6 - 2WAG-10 - 10 Fisher Place Lloyd,,"$4,882.83",,,,,,,,,,,,,,,,,,,,,,,,
9/12/17,Dave Yeomans,MW21288 - AYCA-4BG97M - 2WET-21 - 8 Magnolia Street Greystanes,,,,,,,,,"$3,905.54",,,,,,,,,,,,,,,,,
9/12/17,Dave Yeomans,MW21289 - AYCA-45YGSM - 2WAG-05 - 138 Elizabeth Avenue Forest Hill,,"$12,652.97",,,,,,,,,,,,,,,,,,,,,,,,
9/15/17,Shaher Aslan,MW21145 - AYCA-4KU6BE -OOMWI - 2WET-20 - Seniors Housing,,"$2,751.09",,,,,,,,,,,,,,,,,,,,,,,,
9/14/17,Mark Leal,MW21123 - 2TAR -02 - AYCA-4LIG38 - Non Standard Builds Survey,,"$1,670.00",,,,,,,,,,,,,,,,,,,,,,,,
9/14/17,Dave Yeomans,MW21080 - AYCA-2K262F - 2MSV-05 - Rochester Park - 1,,"$5,689.31",,,,,,,,,,,,,,,,,,,,,,,,
9/14/17,Dave Yeomans,"MW21321 - AYCA-44VVQL - 2FOE-22 - 9,21, 23 Churchill Road Forster",,,,,,,,,"$8,721.47",,,,,,,,,,,,,,,,,
9/18/17,Dave Yeomans,MW21322 - 2SHH-02 - AYCA-4FHB4D - 3 Bellbird Close Barrack Heights,,"$5,773.02",,,,,,,,,,,,,,,,,,,,,,,,
9/22/17,Ertan Cicek,"MW21380 - 2YON-01 - AYCA-4MRFUW - 1 Patterson Avenue, Young – 1",,"$12,059.12",,,,,,,,,,,,,,,,,,,,,,,,
9/20/17,Nabeel Jaimon,MW21325 - 2NRL-20 - AYCA-2QFUTJ - Camden Day Hospital - 1,,"$2,322.69",,,,,,,,,,,,,,,,,,,,,,,,
9/22/17,Lindy Chan,MW21373 - 2WET-65 - AYCA-4O5GBC - 106 - 108 Chifley St - Smithfield,,"$5,336.95",,,,,,,,,,,,,,,,,,,,,,,,
6/21/17,Mark Leal,MW20905 - 2NLT-09 - AYCA-47ENGU - 16 WALL – 1,,"$5,557.33",,,,,,,,,,,,,,,,,,,,,,,,
9/25/17,Nabeel Jaimon,"MW21392 - 2MIL-20 - AYCA-4NGNW3 - LOT 421 & 422, 10-12 PROGRESS CIRCUIT",,"$2,044.50",,,,,,,,,,,,,,,,,,,,,,,,
9/26/17,Andrew Mahassy,MW21401 - 2PTH-11 - AYCA-4RYUIS -  Non Standard Builds - Assisi Close Cranebrook,,$900.00,,,,,,,,,,,,,,,,,,,,,,,,
9/26/17,Ertan Cicek,MW21400 - 2MTT-02 - AYCA-4JV9PM - Wattle St Colo Vale - 1,,"$6,328.87",,,,,,,,,,,,,,,,,,,,,,,,
9/26/17,Ertan Cicek,MW21398 - 2MSV-03 - AYCA-3MIX48 - Sutherland Park Estate - 1,,"$8,670.86",,,,,,,,,,,,,,,,,,,,,,,,
9/26/17,Ertan Cicek,MW21395 - 2BTH-01 - AYCA-4LYVIU - Arndilly - 2,,"$4,802.37",,,,,,,,,,,,,,,,,,,,,,,,
9/27/17,Dave Yeomans,MW21415 - 2WOY-04 - AYCA-357A3D - 243 Blackwall Rd Woy Woy,,,,,,,,,"$8,708.20",,,,,,,,,,,,,,,,,
9/27/17,Mark Leal,MW21416 - 2ORG-05 - AYCA-4H25NY - 12 Wakeford – 1,,"$8,637.20",,,,,,,,,,,,,,,,,,,,,,,,
10/13/17,Ertan Cicek,MW20076 - AYCA-4TBHNX - 2SHH-05 - Non Standard Builds - 125 Lake Entrance - SURVEY MWI Pack,,"$1,698.00",,,,,,,,,,,,,,,,,,,,,,,,
10/10/17,Mark Leal,MW21438 - 2ORG-01 - AYCA-4J2IIB - Majestic Way - 1,,"$5,568.32",,,,,,,,,,,,,,,,,,,,,,,,
10/18/17,Mark Leal,MW21311 - 2WAU-21 - AYCA-4N13KQ - 127 Cameron St,,"$8,488.50",,,,,,,,,,,,,,,,,,,,,,,,
10/17/17,Ertan Cicek,MW21379 ‐ 2TUM‐20 ‐ AYCA‐4QFUB7 ‐ Non Standard Builds ‐ Emery Place Tumut,,,,,,,,,"$1,606.00",,,,,,,,,,,,,,,,,
10/17/17,Andrew Mahassy,MW21516 - AYCA-4TB2X9 - NSB - Wirrinya Pl Grasmere - SURVEY,,$800.00,,,,,,,,,,,,,,,,,,,,,,,,
10/17/17,Mark Leal,MW21037 - AYCA-32NN4T -2MSV-05 -Blue Gum Rd Estate – 1,,"$22,553.22",,,,,,,,,,,,,,,,,,,,,,,,
10/27/17,Nabeel Jaimon,MW21464 - 2NRN-03 - AYCA-4EAKM1-63 SGR - 1- EXTERNAL,,"$4,263.56",,,,,,,,,,,,,,,,,,,,,,,,
10/24/17,Mark Leal,MW21459 - AYCA-4DWSZZ -2OBA-20 -NSB - 81 Albatross Way,,"$13,975.96",,,,,,,,,,,,,,,,,,,,,,,,
