Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since response submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,Clause 15.9 & 19.7 Payment 15 days from submission of payment claim,The average payment date timeframe from submission of payment claim to payment in the last 7 months  is 26 days.  Contracted 15 days
739,A417 MDU New Devs,"MW21966-AYCA-52950S-2BUR-65-147 - 153 Liverpool Rd, Burwood",Payment Claim,Payment Schedule Received,5/11/18,5/16/18,5d,1d,,,payment Date 17/5/18,,5/17/18,,,,,
740,A417 MDU New Devs,MW21724-AYCA-3TP6RP-2SIL-04-Majors Bay Mortlake Residential ,Payment Claim,Payment Schedule Received,5/11/18,5/15/18,4d,2d,,,payment Date 17/5/18,,5/17/18,,,,,
741,A417 MDU New Devs,"MW22260-AYCA-56YKSC-2CAM-02-38 Wonga St, Canterbury",Request for PC,Approved,5/14/18,5/25/18,11d,,,,,,,,,,,
742,A417 MDU New Devs,MW22104-AYCA-4DRN0U-2BRG-03-182 Raby Road Gledswood Hills,Request for PC,Approved,5/15/18,5/29/18,14d,,,,,,,,,,,
743,A417 MDU New Devs,MW22358-AYCA-4OHMS3-2BLK-07-35 Holbeche Road Arndell Park-INT HMDU,Request for PC,Approved,5/15/18,5/29/18,14d,,,,,,,,,,,
744,A417 MDU New Devs,"MW22047-AYCA-53E534-2LIV-12-25 Glenfield Rd, Glenfield  Ext",Request for PC,Approved,5/15/18,5/29/18,14d,,,,,,,,,,,
745,A417 MDU New Devs,MW22065-AYCA-4FM8T4-2DBB-01-1L Hennessy Dr Drive Dubbo,Payment Claim,Payment Schedule Received,5/16/18,5/18/18,2d,4d,,,Payment Date 22/5/18,,5/22/18,,,,,
746,A401 Greenfields,"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae",Payment Claim,Payment Schedule Received,5/17/18,5/28/18,11d,1d,,,Payment date 29/05/18,,5/29/18,,,,,
747,A401 Greenfields,"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook",Request for PC,Approved,5/16/18,5/29/18,13d,,,,,,,,,,,
748,A401 Greenfields,MW22208-AYCA-4PWSOZ- 2KEL-07-1B Fairway Dr Kellyville,Payment Claim,Payment Schedule Received,5/17/18,5/18/18,1d,4d,,,Payment Date 22/5/18,,5/22/18,,,,,
749,A417 MDU New Devs,MW22080-2QUA-02-AYCA-3I5VJ6-67 Dongola Circuit Schofields,Payment Claim,Payment Schedule Received,5/17/18,5/18/18,1d,4d,,,Payment Date 22/5/18,,5/22/18,,,,,
750,A417 MDU New Devs,"MW22243 - AYCA-4EUBZX - 2PTH-06 - 82 Cox Avenue, Penrith ",Payment Claim,Payment Schedule Received,5/17/18,5/18/18,1d,4d,,,Payment Date 22/5/18,,5/22/18,,,,,
751,VPL - DCMA,VPL - 2NRN-05-AYCA-4B5K39,Payment Claim,Waiting for Approval,5/22/18,6/8/18,17d,,,,Payment date 8/06/18,,,,,,,
752,A417 MDU New Devs,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,Request for PC,Approved,5/17/18,5/30/18,13d,,,,,,,,,,,
753,A401 Greenfields,"MW22183-AYCA-55F4KR-2REV-20-15 Fitzpatrick St, Revesby",Payment Claim,Payment Schedule Received,5/18/18,5/21/18,3d,1d,,,Payment date 22/5/18,,5/22/18,,,,,
754,A401 Greenfields,MW22188-AYCA-4YPJJH-2BAN-60-62 Hume Hwy Chullora ,Payment Claim,Payment Schedule Received,5/18/18,5/21/18,3d,1d,,,Payment Date  22/5/18,,5/22/18,,,,,
756,A417 MDU New Devs,MW22203-AYCA-2LIFV6-2ROU-02-4 Stringer Rd Kellyville,Payment Claim,Payment Schedule Received,5/18/18,5/21/18,3d,1d,,,Payment Date 22/5/18,,5/22/18,,,,,
757,A401 Greenfields,MW22171-AYCA-54VFA3-2COR-02- 50 Squires Cres Coledale,Payment Claim,Payment Schedule Received,5/18/18,5/22/18,4d,2d,,,payment Date 24/5/18,,5/24/18,,,,,
758,A417 MDU New Devs,"MW22260-AYCA-56YKSC-2CAM-02-38 Wonga St, Canterbury",Variation Proposal,Approved,5/18/18,5/30/18,12d,,,,,,,,,,,
759,A417 MDU New Devs,MW22104-AYCA-4DRN0U-2BRG-03-182 Raby Road Gledswood Hills,Variation Proposal,Approved,5/18/18,5/24/18,6d,,,,,,,,,,,
760,A401 Greenfields,"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook",Variation Proposal,Approved,5/18/18,5/24/18,6d,,,,,,,,,,,
761,A417 MDU New Devs,"MW22047-AYCA-53E534-2LIV-12-25 Glenfield Rd, Glenfield  Ext",Variation Proposal,Approved,5/18/18,5/30/18,12d,,,,,,,,,,,
762,A417 MDU New Devs,MW22351-AYCA-49Z80V-2PIT-01-44 Wells Street Pitt Town,Request for PC,Approved,5/18/18,5/30/18,12d,,,"$2,366.00",,,,,,,,
763,A417 MDU New Devs,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,Variation Proposal,Approved,5/18/18,5/30/18,12d,,,,,,,,,,,
764,A401 Greenfields,MW22186 - AYCA-3L48XJ - 2CAS-23 - 2 Anella Avenue Castle Hill ,Request for PC,Approved,5/21/18,5/31/18,10d,,,,,,,,,,,
765,A401 Greenfields,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,Request for PC,Approved,5/21/18,5/31/18,10d,,,,,,,,,,,
766,A417 MDU New Devs,MW22390-AYCA-4EE89M-2RIV-04-15 Boundary Rd Box Hill,Request for PC,Approved,5/22/18,5/31/18,9d,,,,,,,,,,,
767,A417 MDU New Devs,MW22390-AYCA-4EE89M-2RIV-04-15 Boundary Rd Box Hill,Variation Proposal,Approved,5/22/18,5/24/18,2d,,,,,,,,,,,
768,A401 Greenfields,MW22186 - AYCA-3L48XJ - 2CAS-23 - 2 Anella Avenue Castle Hill ,Variation Proposal,Approved,5/22/18,5/30/18,8d,,,,,,,,,,,
769,A401 Greenfields,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb v2,Variation Proposal,Approved,5/30/18,6/14/18,15d,,,,,,,,,,,
770,A401 Greenfields,"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE",Request for PC,Approved,5/23/18,6/4/18,12d,,,,,,,,,,,
771,A401 Greenfields,"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE",Variation Proposal,Approved,5/23/18,5/31/18,8d,,,,,,,,,,,
772,A417 MDU New Devs,MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL,Payment Claim,Payment Schedule Received,5/24/18,5/29/18,5d,2d,,,Payment Date 31/05/18,,5/31/18,,,,,
773,A417 MDU New Devs,"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah",Payment Claim,Payment Schedule Received,5/24/18,5/29/18,5d,2d,,,Payment Date 31/5/18,,5/31/18,,,,,
774,A417 MDU New Devs,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,Request for PC,Approved,5/24/18,6/5/18,12d,,,,,,,,,,,
775,A417 MDU New Devs,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,Variation Proposal,Approved,5/24/18,5/30/18,6d,,,,,,,,,,,
776,A417 MDU New Devs,MW22105-AYCA-48L8EZ-2MIL-01-27 Tugela Rise Edmondson Park,Payment Claim,Payment Schedule Received,5/25/18,5/29/18,4d,2d,,,Payment Date 31/5/18,,5/31/18,,,,,
777,A417 MDU New Devs,"MW21970-AYCA-4YZGFK-2PEN-66-51 Boronia St, South Wentworthville",Request for PC,Approved,5/29/18,6/8/18,10d,,,,,,,,,,,
778,A417 MDU New Devs,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills ",Request for PC,Approved,5/29/18,6/8/18,10d,,,,,,,,,,,
