,,,,,,,,,,
,,,,,,,,,,
,Row Labels,Sum of Total Revenue,,,,,Row Labels,Sum of Debit,,
,Sep-17,"$183,054.79",,,,,,,,
,MW20311 - 2LIV-04 - Liverpool various sites,"$1,505.23",,,,,,,,
,MW20798 - AYCA-2LT5GF - Castlereagh Street - 1,"$15,871.58",,,,,,,,
,MW20727 - 2NRN-10 - AYCA-3UYW26 - P150 - Internals,"$1,120.00",,,,,,,,
,"MW20765 - 2HOR-63 - AYCA-2ZE1AV - 1 & 1A Cowan Road, Mount Colah - Killara ","$4,672.35",,,,,,,,
,MW20817 - 2LIV-12 - 2QUA – 02- 2PTH-02 - Glenfield_Margo_Jamison,"$3,982.23",,,,,,,,
,MW20705 - AYCA-3QCL7A - 48 Arnold Avenue Kellyville,"$2,090.71",,,,,,,,
,MW20966 - 2BLK-11 - AYCA-3W8LJB - 42-44 Norfolk St,"$8,107.40",,,,,,,,
,"MW20806 - 2EPS-61 -AYCA-42J4C9– 54 Tyrone Place, Erskine Park - Loscam","$9,590.40",,,,,,,,
,MW20736 - 2GOS-01-04 - 3-7 Wharf-East Gosford Public School-Unit 3 354 Mann.,"$3,984.86",,,,,,,,
,MW21016 - AYCA-3UESPG -9CRC-06 -IVAR Villas Externals,"$5,992.76",,,,,,,,
,MW21016 - AYCA-3UESPG -9CRC-06 -IVAR Villas Internals,"$10,627.34",,,,,,,,
,MW20844 - 2TAH-02 - AYCA-3YUT4L - Brundah Road - 1,"$15,478.34",,,,,,,,
,MW21021 - 2MGO-20 -AYCA-45UVAF - Non Standard Builds - 15 Baldi ,"$23,218.05",,,,,,,,
,MW21065 - AYCA-3JKNRK -2ROU-02 -15-19 Hillview - 2B,$665.54,,,,,,,,
,MW21095 - AYCA-4K6BDG - Melito Drive Internals,$560.00,,,,,,,,
,MW21085 - 2ROU-02 - AYCA-47PV52 - Non Standard Builds - 22-24 Barry Road ,"$17,686.01",,,,,,,,
,MW21095 - AYCA-4K6BDG - Melito Drive Externals,"$8,291.47",,,,,,,,
,MW21092 2BRG-03 AYCA-1NGPGW- Gledswood,"$13,426.10",,,,,,,,
,MW21223 - AYCA-2568YW - 25 29 Harbour St NBN - Harbour St,"$28,193.42",,,,,,,,
,MW21209 - AYCA-4K7VB2 -2TWH-05 - River Views – 1,"$6,516.00",,,,,,,,
,"2RIV-02-AYCA-1XO4MJ,  Hub install for Craig Comms","$1,475.00",,,,,,,,
,Aug-17,"$158,329.46",,,,,,,,
,MW20425 - 2WLG - MPS-062-144-191-190-197-241 & 2WLG-08 ,"$8,027.19",,,,,,,,
