Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,,,,,,,,,,,,,,,,
Schokmans,Inv 2378,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ,NBN Greenfields,"$1,000.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2379,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW20844 - 2TAH-02 - AYCA-3YUT4L - Brundah Road - 1,NBN Greenfields,"$1,810.66",,,,,,,,,,,,,,,,
Schokmans,Inv 2380,10/20/17,11/30/17,NBN Co,NBN Minor Works,"MW20812 - 2WLG-01 - 2LIV-04 - Crown, Kembla, Macquarie, George",NBN Minor Works,$550.00,,,,,,,,,,,,,,,,
Schokmans,Inv 2320,9/5/17,10/31/17,NBN Co,NBN Greenfields,MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood ,NBN Greenfields,"$1,000.00",,,,,,,,,,,,,,,,
Rainer,Inv 0004,10/24/17,11/30/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,$450.00,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803621,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW20821 - AYCA-45D358 NSB Albuera Close -  BUILD,NBN Greenfields,"$6,043.99",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803622,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW21052 - 2MAI-11 - AYCA-3OLAP3-WA Brown INTERNAL,NBN Greenfields,"$6,294.34",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803629,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW20939 - AYCA-2Y4BYB -2PEN-64 - 344 GWH Wentworthville – 1- EXTERNAL,NBN Greenfields,$763.84,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803630,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ,NBN Greenfields,"$5,914.06",,,,,,,,,,,,,,,,
OS Cable Services,Inv 25,8/19/17,9/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$3,500.00",,,,,,,,,,,,,,,,
