Contract,Project Title,Location,,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,maximoOrderNumber,FSAM/MPS,Suburb,Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internat DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 Greenfield MDU,MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1,Sydney,,Inv 13503,19/04/2018,26/03/2018,27/03/2018,04/04/2018,06/04/2018,12/04/2018,26/04/2018,Mar-18,Apr-18,,MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1,Blacktown,"$1,195.85","$3,999.57","$5,195.42","$5,714.96","$1,294.92",,"$1,294.92","$3,900.50",75%,Ertan Cicek ,Direct Award,05/01/2018,,30/01/2018,25d
A401/Minor works,MW21456 - 2BLK-07-16 - 51 Huntingwood Drive,Sydney,,,,,30/07/2018,,,,,Jul-18,Jan-00,,MW21456 - 2BLK-07-16 - 51 Huntingwood Drive,Huntingwood,"$30,428.35",,"$30,428.35","$33,471.19","$9,404.68",,"$9,404.68","$21,023.67",69%,Greg Moeller,27/11/2017,28/03/2018,,30/04/2018,33d
NBN Assurance Wagga,"MW22132 - INC000007252034 - Lot 166, 11 Poulton St, Ashmont, NSW",NSW,,Inv 13323,06/03/2018,06/03/2018,06/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22132 - INC000007252034 - Lot 166, 11 Poulton St, Ashmont, NSW",Ashmont,$640.70,,$640.70,$704.77,,$250.00,$250.00,$390.70,61%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22123 - INC000007062621 – 195 LURLINE ST, KATOOMBA",NSW,,Inv 13325,06/03/2018,06/03/2018,06/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22123 - INC000007062621 – 195 LURLINE ST, KATOOMBA",Katoomba,$704.77,,$704.77,$775.25,,$242.77,$242.77,$462.00,66%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22122 - INC000007203801 – 22 SUNBEAM AV, BLACKHEATH",NSW,,Inv 13324,06/03/2018,06/03/2018,06/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22122 - INC000007203801 – 22 SUNBEAM AV, BLACKHEATH",Blackheath,$256.28,,$256.28,$281.91,,$88.28,$88.28,$168.00,66%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22120 - INC000007212301 – 73 RIDGE ST, LAWSON",NSW,,Inv 13331,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22120 - INC000007212301 – 73 RIDGE ST, LAWSON",Lawson,$128.14,,$128.14,$140.95,,$44.14,$44.14,$84.00,66%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22110 - INC000007232295 – 13 KUNDIBAR ST, KATOOMBA",NSW,,Inv 13330,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22110 - INC000007232295 – 13 KUNDIBAR ST, KATOOMBA",Katoomba,$256.28,,$256.28,$281.91,,$88.28,$88.28,$168.00,66%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22111 - INC000007080982 – 10 LORNA CL, BUNDANOON",NSW,,Inv 13332,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22111 - INC000007080982 – 10 LORNA CL, BUNDANOON",Bundanoon,$320.35,,$320.35,$352.39,,$110.35,$110.35,$210.00,66%,Tony Gabriel,,,,,
Field Solutions,23 Narabang Way Road crossing,NSW,,Inv 13409,23/03/2018,30/03/2018,30/03/2018,,,,30/04/2018,Mar-18,Apr-18,,23 Narabang Way Road crossing,Belrose,"$8,225.70","$1,515.82","$9,741.52","$10,715.67",,,$0.00,"$9,741.52",100%,Brian Ahern,,,,,
NBN Assurance Sydney,"MW22117 - INC000007115099 - 64 CHURCH ST, MILTON",NSW,,Inv 13333,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22117 - INC000007115099 - 64 CHURCH ST, MILTON",Milton,$825.70,,$825.70,$908.27,,$220.70,$220.70,$605.00,73%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22113 - INC000007099865 - Lot 241, 75 Barton Street, Oak Flats, NSW",NSW,,Inv 13334,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22113 - INC000007099865 - Lot 241, 75 Barton Street, Oak Flats, NSW",Oak Flats,"$2,229.30",,"$2,229.30","$2,452.23",,$176.56,$176.56,"$2,052.74",92%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22119 - INC000007204274 - LOT 192, 47 ELM ST, ALBION PARK RAIL NSW",NSW,,Inv 13337,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22119 - INC000007204274 - LOT 192, 47 ELM ST, ALBION PARK RAIL NSW",Albion Park,"$3,511.97",,"$3,511.97","$3,863.17",,$154.49,$154.49,"$3,357.48",96%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22121 - INC000007123502 - 55 PEPPERMINT DR, WORRIGEE NSW",NSW,,Inv 13338,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22121 - INC000007123502 - 55 PEPPERMINT DR, WORRIGEE NSW",Worrigee,"$1,402.33",,"$1,402.33","$1,542.56",,$604.33,$604.33,$798.00,57%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22108 - INC000007113365 – Lot 2464, 1 Emu Av, Sanctuary Point, NSW",NSW,,Inv 13340,07/03/2018,07/03/2018,07/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22108 - INC000007113365 – Lot 2464, 1 Emu Av, Sanctuary Point, NSW",Sanctuary Point,$512.56,,$512.56,$563.82,,$176.56,$176.56,$336.00,66%,Tony Gabriel,,,,,
NBN Assurance Wagga,"MW22133 - INC000007104657 - Lot 232, 30 Crisp Drive, Ashmont",NSW,,Inv 13353,08/03/2018,08/03/2018,08/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22133 - INC000007104657 - Lot 232, 30 Crisp Drive, Ashmont",Ashmont,"$1,153.26",,"$1,153.26","$1,268.59",,$350.00,$350.00,$803.26,157%,Tony Gabriel,,,,,
NBN Assurance Wagga,"MW22138 - INC000007230232 - Lot 257, 14 Toy Pl, Tolland, NSW",NSW,,Inv 13354,08/03/2018,08/03/2018,08/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22138 - INC000007230232 - Lot 257, 14 Toy Pl, Tolland, NSW",Tolland,"$1,217.33",,"$1,217.33","$1,339.06",,$475.00,$475.00,$742.33,64%,Tony Gabriel,,,,,
NBN Assurance Wagga,"MW22141 - INC000007222465 - Lot 30, 4 Banksia Avenue, Leeton",NSW,,Inv 13355,08/03/2018,08/03/2018,08/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22141 - INC000007222465 - Lot 30, 4 Banksia Avenue, Leeton",Leeton,$320.35,,$320.35,$352.39,,$150.00,$150.00,$170.35,14%,Tony Gabriel,,,,,
NBN Assurance Wagga,"MW22142 - INC000007223690 - 150 Gurwood St, Wagga Wagga, NSW",NSW,,Inv 13356,08/03/2018,08/03/2018,08/03/2018,,,,01/05/2018,Mar-18,May-18,,"MW22142 - INC000007223690 - 150 Gurwood St, Wagga Wagga, NSW",Wagga Wagga,$512.56,,$512.56,$563.82,,$175.00,$175.00,$337.56,105%,Tony Gabriel,,,,,
NBN Assurance Wagga,"MW22139 - INC000007221664 - 92 East Street, Narrandera",NSW,,Inv 13357,08/03/2018,08/03/2018,08/03/2018,,,,22/05/2018,Mar-18,May-18,,"MW22139 - INC000007221664 - 92 East Street, Narrandera",Narrandera,$256.28,,$256.28,$281.91,,$100.00,$100.00,$156.28,30%,Tony Gabriel,,,,,
NBN Assurance Wagga,"MW22235 - INC000007210193 - 36 Blakemore Av, Ashmont, NSW",NSW,,Inv 13358,08/03/2018,08/03/2018,08/03/2018,,,,,Mar-18,Jan-00,,"MW22235 - INC000007210193 - 36 Blakemore Av, Ashmont, NSW",Ashmont,"$1,153.26",,"$1,153.26","$1,268.59",,$450.00,$450.00,$703.26,274%,Tony Gabriel,,,,,
A417 Greenfield MDU,"MW21835-AYCA-4MJ7W3-2WRO-63-8-10 Park Ave, Waitara",Sydney,,Inv 13672,28/05/2018,09/05/2018,09/05/2018,15/05/2018,02/05/2018,23/05/2018,12/06/2018,May-18,Jun-18,,"MW21835-AYCA-4MJ7W3-2WRO-63-8-10 Park Ave, Waitara",Waitara,$704.71,"$4,996.36","$5,701.07","$6,271.18","$1,885.45",,"$1,885.45","$3,815.62",67%,Ertan Cicek,Direct Award,07/03/2018,,20/03/2018,13d
A401/Greenfield,MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee,West NSW,,Inv 13597,17/05/2018,27/04/2018,30/04/2018,,,09/05/2018,15/05/2018,Apr-18,May-18,,MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee,Mudgee,"$6,077.33",,"$6,077.33","$6,685.06","$3,773.27",,"$3,773.27","$2,304.06",38%,Dave Yoemans,05/03/2018,18/03/2018,,01/04/2018,14d
A401/Greenfield,MW22035-AYCA-4C4E63-2CWR-01-11 Liverpool Street Cowra,West NSW,,Inv 13718,14/06/2018,04/06/2018,04/06/2018,,,15/06/2018,22/06/2018,Jun-18,Jun-18,,MW22035-AYCA-4C4E63-2CWR-01-11 Liverpool Street Cowra,Cowra,"$8,506.73",,"$8,506.73","$9,357.40",,,$0.00,"$8,506.73",100%,Dave Yoemans,05/03/2018,16/03/2018,,01/04/2018,16d
A401/Greenfield,MW22034-AYCA-4DZ83F-2NLT-01-6 Callan Avenue Maryland,Newcastle,,,,10/04/2018,10/04/2018,,,23/04/2018,01/05/2018,Apr-18,May-18,,MW22034-AYCA-4DZ83F-2NLT-01-6 Callan Avenue Maryland,Maryland,"$4,859.50",,"$4,859.50","$5,345.45","$3,013.08",,"$3,013.08","$1,846.42",38%,Dave Yoemans,05/03/2018,19/03/2018,,01/04/2018,13d
A401/Greenfield,MW22033 -AYCA-4PX9WA- 2YAS-01 - 23 Browne Street Yass,Sth NSW,,Inv 13776,29/06/2018,05/06/2018,05/06/2018,,,20/06/2018,26/06/2018,Jun-18,Jun-18,,MW22033 -AYCA-4PX9WA- 2YAS-01 - 23 Browne Street Yass,Yass,"$2,191.88",,"$2,191.88","$2,411.07",,,$0.00,"$2,191.88",100%,Dave Yoemans,05/03/2018,16/03/2018,,01/04/2018,16d
A417 Greenfield MDU,"MW21971-AYCA-4X6TWU-2LID-08-43 - 47 Harrow Rd, Auburn, EXT",Sydney,,,,,30/11/2018,,,,,Nov-18,Jan-00,,"MW21971-AYCA-4X6TWU-2LID-08-43 - 47 Harrow Rd, Auburn, EXT",Auburn,$279.01,,$279.01,$306.91,,,$0.00,$279.01,100%,Nabeel Jaimon,Direct Award,28/02/2018,,06/04/2018,37d
