Technology,Delivery Partner Name,Warehouse Suburb,Warehouse State,nbn item number,Product description,Unit of measure (UOM),Warehouse stock on hand quantity (SOH),Faulty SOH- Count,Report run date
New Devs Minor Work,Datateks,,ACT,10023612,Small Footprint Multi-port with Integrated 1:4 Splitter (SMP),Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023613,Small Footprint Multi-port with Integrated 1:8 Splitter (SMP),Each,14,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023895,Splitter Planar 1:4 for FJL BJL Unterminated,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10024796,Patch Cord Simplex Red SC APC to SC APC 1.5m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002306,Patch Cord Simplex SC APC to SC APC 2m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002307,Patch Cord Connector SC APC to SC APC 2.5m,Each,15,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10009967,Patch Cord Connector SC APC to SC APC 3m,Each,35,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002308,Patch Cord Connector SC APC to SC APC 4.5m,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002309,Patch Cord Connector SC APC to SC APC 5.0m,Each,7,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002310,Patch Cord Connector SC APC to SC APC 5.5m,Each,12,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015713,Patch cord Simplex SC APC to SC APC 6.0m,Each,12,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002311,Patch Cord Connector SC APC to SC APC 6.5m,Each,12,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015352,Patch Cord Simplex SC APC to SC APC 7.0m,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002312,Patch Cord Connector SC APC to SC APC 7.5m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015353,Patch Cord Simplex SC APC to SC APC 8m,Each,3,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002313,Patch Cord Connector SC APC to SC APC 8.5m,Each,3,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015354,Patch Cord Simplex SC APC to SC APC 9m,Each,8,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002314,Patch Cord Connector SC APC to SC APC 10.0m,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015426,Patch Cord Connectors SC UPC to SC A 2.1m,Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10007314,Cable Patch Single Mode Fiber LC to SCA 3M Duplex,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002832,Accessory PCD Connection Stacker Stackable Splice,Each,41,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10014091,Mechanical Connector Field Installable A/SC Connector 250UM and 900UM Boot,Each,238,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002186,Splice Enclosure Transition Mechanical Base 144F,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002216,Closure Accessories Seal Heat Shrink Port HS7 Heat Shrink Seal and Strain Relief Hardware for 24mm Port,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002213,Closure Accessories Seal Heat Shrink Port HS4 Heat Shrink Seal and Strain Relief Hardware for 32mm Port,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002206,Cable Entry Kit for 3 Multiport Feeder Cables for Transition Closure ORS6 10002186,Each,8,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10014982,Kit Protective Braided Tubing Fitting with Grommet for use with MDU CTL,Each,15,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10000224,Closure Gator Repair Kit 12 Fibre,Each,11,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013323,Cable Transition Location CTL 36F 36 Ports SC APC Stubless Input with Ribbon Pigtails for splicing,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026136,Premise Distribution Hub Small form CTL with 1:32 Splitter,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013298,FDH Splitter 1:32 Type 2 Tyco Post DF 4TH Splitter,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013312,Premise Cable 2.9mm SCA Both Ends 10m,Each,40,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013313,Premise Cable 2.9mm SCA Both Ends 15m,Each,19,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013314,Premise Cable 2.9mm SCA Both Ends 20m,Each,29,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013315,Premise Cable 2.9mm SCA Both Ends 30m,Each,27,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013316,Premise Cable 2.9mm SCA Both Ends 50m,Each,8,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013516,Premise Cable 2.9mm SCA Both Ends 75m,Each,18,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015761,Premise Cable 2.9mm SCA Single End 100m,Each,8,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013307,Premise Cable 4.8mm SCA Both Ends 15m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013308,Premise Cable 4.8mm SCA Both Ends 20m,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013309,Premise Cable 4.8mm SCA Both Ends 30m,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013310,Premise Cable 4.8mm SCA Both Ends 50m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002844,Premise Cable 4.8mm SCA Single End 50m,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015765,Premise Cable 4.8mm SCA Single End 100m,Each,3,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015766,Premise Cable 4.8mm SCA Single End 150m,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10031296,DPU GFast 4 port GPON VDSL2 Compatable,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016346,Bracket Mounting Aluminium 3mm for Optical Closures Within Asbestos Pits 2Pcs Per Set 490Mm L X 75mm W X 50mm D,Each,9,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023667,Kit Auxiliary Sleeve 30 to 32 series 10 Sleeve sets,Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10014534,MDU Kit PDH or CTL Splice Tray Single Tray,Each,9,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10027440,Cable Gender Change Male to Male 3m,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026394,Wall 7RU MX-6 staged no fan filter XB-454085/1 nbn ausrack wall 7RU for MX6 no fan,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10025098,Card 7363 ISAM MX-6 NT,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10025099,Card 7363 ISAM MX-6 NTIO DC,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002489,7302/7330 SFP GE LX SM 1310nm Duplex LC 10km,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002450,Dust Cover for empty SFP position OLT 7302,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029198,MX6 Line Card 32 Port Bundle,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026691,Power System back-up Unit 48Vdc 20AH lithium ion rack mount,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10027084,Cable LFP Battery Kit 6mm2 PP75 0.4m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026395,FTTB 4 Fan Unit including Filters,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10007324,Patch Cord Duplex LC UPC to LC UPC 5m,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10007328,Patch Cord Duplex LC UPC to LC APC 5m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10007314,Patch Cord Duplex LC UPC to LC APC 3m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10007310,Patch Cord Duplex LC UPC to LC APC 1m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015137,Cable Tether Extension 12F Underground OPTITIP Connector Double Terminated 500m,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016056,Mechanical Port for ORS6 including 3 cable grommets 10mm 14mm 18mm suitable for round cables 10mm18mm,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10009506,TFAN Closure Accessory kit For use with ORS6,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023897,Splitter Planar 1:32 for FJL BJL Unterminated,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018126,Small heatshrink tube closure for extending 2 pair cable,Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10012736,Kit Reflective Lettering Orange Black 5005,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018109,CCF Splitter 1-pr Suitable for RdM 16pr IDC Block,Each,1000,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013324,Cable Transition Location CTL 12F 12 Ports SC APC Stubless Input with Unpinned Female OptiTip Connector,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026136,Premise Distribution Hub Small Form CTL with 1:32 Splitter,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018619,Bracket Mounting Kit for Aireal Multiports Unaps,Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016505,Frame Profil Jumperable 11 way,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016501,Module Disconnection for Series 2 Krone Blocks Box 10,Each,20,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026752,Copper Interconnect Unit FTTC,Each,2,0,17/05/2020
